,sex,age,area,q1,q3,q6,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,target_q7
95,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,산이나 국립공원
96,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,4.0,1.0,기타
97,2.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,3.0,2.0,3.0,3.0,6.0,2.0,2.0,2.0,3.0,1.0,기타
98,2.0,3.0,6.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,1.0,2.0,5.0,1.0,"강이나 계곡, 유원지 등"
99,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,5.0,8.0,해수욕장이나 바다
100,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,5.0,9.0,"강이나 계곡, 유원지 등"
101,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,5.0,1.0,해수욕장이나 바다
102,2.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,5.0,1.0,3.0,6.0,1.0,3.0,1.0,1.0,9.0,해수욕장이나 바다
103,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
104,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,6.0,1.0,1.0,산이나 국립공원
105,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
106,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,6.0,3.0,2.0,3.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,"강이나 계곡, 유원지 등"
107,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,9.0,"강이나 계곡, 유원지 등"
108,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,4.0,해수욕장이나 바다
109,2.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,4.0,"강이나 계곡, 유원지 등"
110,2.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,해수욕장이나 바다
